/home/dongdong/.local/lib/python3.10/site-packages/torch/functional.py:504: UserWarning: torch.meshgrid: in an upcoming release, it will be required to pass the indexing argument. (Triggered internally at ../aten/src/ATen/native/TensorShape.cpp:3190.)
  return _VF.meshgrid(tensors, **kwargs)  # type: ignore[attr-defined]
Epoch=0, BatchID=0, Val_AUC=0.4587, Best_Val_AUC=0.4587
Epoch=0, BatchID=100, Val_AUC=0.7462, Best_Val_AUC=0.7462
Epoch=1, BatchID=0, Val_AUC=0.7294, Best_Val_AUC=0.7462
Epoch=1, BatchID=100, Val_AUC=0.7677, Best_Val_AUC=0.7677
Epoch=2, BatchID=0, Val_AUC=0.7816, Best_Val_AUC=0.7816
Epoch=2, BatchID=100, Val_AUC=0.7894, Best_Val_AUC=0.7894
Epoch=3, BatchID=0, Val_AUC=0.8398, Best_Val_AUC=0.8398
Epoch=3, BatchID=100, Val_AUC=0.8159, Best_Val_AUC=0.8398
Epoch=4, BatchID=0, Val_AUC=0.7939, Best_Val_AUC=0.8398
Epoch=4, BatchID=100, Val_AUC=0.8185, Best_Val_AUC=0.8398
Epoch=5, BatchID=0, Val_AUC=0.8293, Best_Val_AUC=0.8398
Epoch=5, BatchID=100, Val_AUC=0.8307, Best_Val_AUC=0.8398
Epoch=6, BatchID=0, Val_AUC=0.8412, Best_Val_AUC=0.8412
Epoch=6, BatchID=100, Val_AUC=0.8481, Best_Val_AUC=0.8481
Epoch=7, BatchID=0, Val_AUC=0.8503, Best_Val_AUC=0.8503
Epoch=7, BatchID=100, Val_AUC=0.8305, Best_Val_AUC=0.8503
Epoch=8, BatchID=0, Val_AUC=0.8142, Best_Val_AUC=0.8503
Epoch=8, BatchID=100, Val_AUC=0.8125, Best_Val_AUC=0.8503
Epoch=9, BatchID=0, Val_AUC=0.8424, Best_Val_AUC=0.8503
Epoch=9, BatchID=100, Val_AUC=0.8448, Best_Val_AUC=0.8503
Epoch=10, BatchID=0, Val_AUC=0.8585, Best_Val_AUC=0.8585
Epoch=10, BatchID=100, Val_AUC=0.8401, Best_Val_AUC=0.8585
Epoch=11, BatchID=0, Val_AUC=0.8447, Best_Val_AUC=0.8585
Epoch=11, BatchID=100, Val_AUC=0.8382, Best_Val_AUC=0.8585
Epoch=12, BatchID=0, Val_AUC=0.8364, Best_Val_AUC=0.8585
Epoch=12, BatchID=100, Val_AUC=0.8441, Best_Val_AUC=0.8585
Epoch=13, BatchID=0, Val_AUC=0.8462, Best_Val_AUC=0.8585
Epoch=13, BatchID=100, Val_AUC=0.8594, Best_Val_AUC=0.8594
Epoch=14, BatchID=0, Val_AUC=0.8602, Best_Val_AUC=0.8602
Epoch=14, BatchID=100, Val_AUC=0.8642, Best_Val_AUC=0.8642
Epoch=15, BatchID=0, Val_AUC=0.8578, Best_Val_AUC=0.8642
Epoch=15, BatchID=100, Val_AUC=0.8642, Best_Val_AUC=0.8642
Epoch=16, BatchID=0, Val_AUC=0.8597, Best_Val_AUC=0.8642
Epoch=16, BatchID=100, Val_AUC=0.8708, Best_Val_AUC=0.8708
Epoch=17, BatchID=0, Val_AUC=0.8676, Best_Val_AUC=0.8708
Epoch=17, BatchID=100, Val_AUC=0.8724, Best_Val_AUC=0.8724
Epoch=18, BatchID=0, Val_AUC=0.8565, Best_Val_AUC=0.8724
Epoch=18, BatchID=100, Val_AUC=0.8761, Best_Val_AUC=0.8761
Epoch=19, BatchID=0, Val_AUC=0.8765, Best_Val_AUC=0.8765
Epoch=19, BatchID=100, Val_AUC=0.8784, Best_Val_AUC=0.8784
Epoch=20, BatchID=0, Val_AUC=0.8630, Best_Val_AUC=0.8784
Epoch=20, BatchID=100, Val_AUC=0.8721, Best_Val_AUC=0.8784
Epoch=21, BatchID=0, Val_AUC=0.8669, Best_Val_AUC=0.8784
Epoch=21, BatchID=100, Val_AUC=0.8623, Best_Val_AUC=0.8784
Epoch=22, BatchID=0, Val_AUC=0.8467, Best_Val_AUC=0.8784
Epoch=22, BatchID=100, Val_AUC=0.8361, Best_Val_AUC=0.8784
Epoch=23, BatchID=0, Val_AUC=0.8688, Best_Val_AUC=0.8784
Epoch=23, BatchID=100, Val_AUC=0.8741, Best_Val_AUC=0.8784
Epoch=24, BatchID=0, Val_AUC=0.8823, Best_Val_AUC=0.8823
Epoch=24, BatchID=100, Val_AUC=0.8699, Best_Val_AUC=0.8823
Epoch=25, BatchID=0, Val_AUC=0.8833, Best_Val_AUC=0.8833
Epoch=25, BatchID=100, Val_AUC=0.8431, Best_Val_AUC=0.8833
Epoch=26, BatchID=0, Val_AUC=0.8716, Best_Val_AUC=0.8833
Epoch=26, BatchID=100, Val_AUC=0.8745, Best_Val_AUC=0.8833
Epoch=27, BatchID=0, Val_AUC=0.8960, Best_Val_AUC=0.8960
Epoch=27, BatchID=100, Val_AUC=0.8609, Best_Val_AUC=0.8960
Epoch=28, BatchID=0, Val_AUC=0.8849, Best_Val_AUC=0.8960
Epoch=28, BatchID=100, Val_AUC=0.8608, Best_Val_AUC=0.8960
Epoch=29, BatchID=0, Val_AUC=0.8703, Best_Val_AUC=0.8960
Epoch=29, BatchID=100, Val_AUC=0.8764, Best_Val_AUC=0.8960
Epoch=30, BatchID=0, Val_AUC=0.8730, Best_Val_AUC=0.8960
Epoch=30, BatchID=100, Val_AUC=0.8605, Best_Val_AUC=0.8960
Epoch=31, BatchID=0, Val_AUC=0.8703, Best_Val_AUC=0.8960
Epoch=31, BatchID=100, Val_AUC=0.8697, Best_Val_AUC=0.8960
Epoch=32, BatchID=0, Val_AUC=0.8519, Best_Val_AUC=0.8960
Epoch=32, BatchID=100, Val_AUC=0.8614, Best_Val_AUC=0.8960
Epoch=33, BatchID=0, Val_AUC=0.8496, Best_Val_AUC=0.8960
Epoch=33, BatchID=100, Val_AUC=0.8572, Best_Val_AUC=0.8960
Epoch=34, BatchID=0, Val_AUC=0.8638, Best_Val_AUC=0.8960
Epoch=34, BatchID=100, Val_AUC=0.8752, Best_Val_AUC=0.8960
